"customerNumber","timestamp","description","amount","type","tag","accountNumber","sortCode"
"1341936022","""2013-01-01T22:00:19.623Z""","Primark",-25.28,"CCW","Clothing","4298343572157391",
"1341936022","""2013-01-01T23:47:16.570Z""","Superdrug",-13.94,"CCW","Healthcare","4298343572157391",
"1341936022","""2013-01-01T09:17:49.010Z""","Arriva Wales",-1.81,"CCW","Transport","4712584669557161",
"1341936022","""2013-01-02T11:54:24.972Z""","Three Mobile",-3.59,"D/D","Mobile","6501999222","50-92-37"
"1341936022","""2013-01-01T01:20:20.174Z""","Denise Patterson",0.66,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-02T20:11:54.256Z""","Interest",9.85,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-02T23:18:14.475Z""","Sports Direct",-28.42,"CAW","Clothing","6501999222","50-92-37"
"1341936022","""2013-01-02T02:10:54.676Z""","Cancer Research",-3.38,"CAW","Charity","6501999222","50-92-37"
"1341936022","""2013-01-02T14:17:39.815Z""","Shelter",-4.89,"CCW","Savings","4298343572157391",
"1341936022","""2013-01-03T00:05:51.604Z""","Alan Scott",2.69,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-03T10:18:30.766Z""","Paintball UK",-1.4,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-01-03T04:55:58.381Z""","Arriva Wales",-2.37,"CAW","Transport","6501999222","50-92-37"
"1341936022","""2013-01-03T09:59:05.095Z""","Paintball UK",-32.2,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-01-03T23:38:50.162Z""","Brenda Ward",0.89,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-03T08:37:21.322Z""","Paintball UK",-14.89,"CCW","Entertainment","4712584669557161",
"1341936022","""2013-01-03T13:00:13.714Z""","Primark",-32.1,"CCW","Clothing","4712584669557161",
"1341936022","""2013-01-04T06:18:02.171Z""","Payment received thank you",-0.57,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-01-04T02:09:21.079Z""","Payment received thank you",0.57,"CCD","Credit Repayment","4298343572157391",
"1341936022","""2013-01-04T23:11:02.385Z""","Subway",-6.68,"CCW","Food","4712584669557161",
"1341936022","""2013-01-04T16:48:47.326Z""","Sports Direct",-17.93,"CCW","Clothing","4712584669557161",
"1341936022","""2013-01-04T08:21:34.596Z""","Oxfam",-0.01,"CCW","Charity","4712584669557161",
"1341936022","""2013-01-05T01:48:17.723Z""","Thames Water",-30.32,"D/D","Water","6501999222","50-92-37"
"1341936022","""2013-01-05T10:27:06.980Z""","Interest",9.75,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-03T11:41:02.306Z""","MegaBus",-11.64,"CCW","Transport","4298343572157391",
"1341936022","""2013-01-05T23:11:17.342Z""","Lori Alexander",7.91,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-05T02:46:53.099Z""","Arriva Wales",-0.01,"CCW","Transport","4298343572157391",
"1341936022","""2013-01-05T04:41:33.398Z""","Save the Children",-11.14,"CCW","Savings","4712584669557161",
"1341936022","""2013-01-06T16:51:15.641Z""","Nicole Bailey",3.76,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-06T07:54:55.120Z""","Alan Scott",1.61,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-06T07:07:54.589Z""","Hitachi Personal Finance",-8.85,"CCW","Debt","4712584669557161",
"1341936022","""2013-01-07T05:41:10.960Z""","Arriva Wales",-5.7,"CCW","Transport","4298343572157391",
"1341936022","""2013-01-07T08:50:45.360Z""","Bodyshop",-9.61,"CCW","Healthcare","4298343572157391",
"1341936022","""2013-01-02T00:12:19.161Z""","Arriva Wales",-19.67,"CCW","Transport","4712584669557161",
"1341936022","""2013-01-07T11:07:37.725Z""","Alan Scott",3.12,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-08T10:59:29.748Z""","Shelter",-14.06,"CCW","Charity","4298343572157391",
"1341936022","""2013-01-08T06:09:47.265Z""","Interest",7.97,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-08T04:37:45.523Z""","Payment received thank you",-4.48,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-01-07T11:02:04.097Z""","Arriva Wales",-6.96,"CCW","Transport","4712584669557161",
"1341936022","""2013-01-08T17:39:36.503Z""","Payment received thank you",4.48,"CCD","Credit Repayment","4298343572157391",
"1341936022","""2013-01-08T20:25:16.165Z""","Save the Children",-4.41,"CCW","Charity","4298343572157391",
"1341936022","""2013-01-08T04:34:19.905Z""","Shelter",-5.19,"CCW","Charity","4712584669557161",
"1341936022","""2013-01-09T03:00:06.734Z""","McColls",-20.12,"CAW","Food","6501999222","50-92-37"
"1341936022","""2013-01-09T06:47:00.738Z""","Alan Scott",1.74,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-09T17:05:23.498Z""","Denise Patterson",24.14,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-09T13:16:21.201Z""","Brenda Ward",0.43,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-09T14:28:47.735Z""","Superdrug",-7.3,"CAW","Healthcare","6501999222","50-92-37"
"1341936022","""2013-01-10T02:51:22.412Z""","McColls",-24.11,"CAW","Food","6501999222","50-92-37"
"1341936022","""2013-01-09T22:57:44.023Z""","M5 GoKarting",-22.02,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-01-10T05:05:28.151Z""","Bodyshop",-43.26,"CCW","Healthcare","4298343572157391",
"1341936022","""2013-01-10T00:14:37.388Z""","Nicole Bailey",1.07,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-10T15:37:40.841Z""","RSPCA",-4.57,"CCW","Charity","4298343572157391",
"1341936022","""2013-01-11T14:58:09.614Z""","Rent",-940,"D/D","Housing","6501999222","50-92-37"
"1341936022","""2013-01-11T17:41:11.757Z""","Subway",-8.34,"CCW","Food","4298343572157391",
"1341936022","""2013-01-11T02:41:53.080Z""","Sports Direct",-22.12,"CCW","Clothing","4298343572157391",
"1341936022","""2013-01-13T00:06:05.279Z""","Subway",-24.3,"CCW","Food","4298343572157391",
"1341936022","""2013-01-12T20:11:22.285Z""","Denise Patterson",4.73,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-13T03:04:21.517Z""","McColls",-26.96,"CCW","Food","4298343572157391",
"1341936022","""2013-01-14T22:40:50.842Z""","Save the Children",-14.99,"CCW","Savings","4712584669557161",
"1341936022","""2013-01-16T18:02:01.999Z""","Cancer Research",-8.34,"CCW","Charity","4298343572157391",
"1341936022","""2013-01-17T18:54:36.908Z""","Interest",1.47,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-17T13:19:25.109Z""","Paintball UK",-7.35,"CCW","Entertainment","4298343572157391",
"1341936022","""2013-01-17T17:59:50.565Z""","American Express",-0.01,"CCW","Debt","4298343572157391",
"1341936022","""2013-01-16T19:57:36.909Z""","MegaBus",-1.39,"CCW","Transport","4298343572157391",
"1341936022","""2013-01-18T10:00:01.841Z""","Lori Alexander",7.55,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-18T23:46:49.166Z""","Brenda Ward",0.35,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-19T14:12:43.604Z""","MegaBus",-3.23,"CCW","Transport","4298343572157391",
"1341936022","""2013-01-20T20:10:32.980Z""","Brenda Ward",0.66,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-17T13:03:33.309Z""","Denise Patterson",11.64,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-16T18:46:45.448Z""","Superdrug",-9.86,"CCW","Healthcare","4298343572157391",
"1341936022","""2013-01-21T10:51:56.149Z""","Lori Alexander",8.82,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-23T23:20:45.773Z""","Interest",3.51,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-23T11:01:42.397Z""","Brenda Ward",27.39,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-24T02:19:51.125Z""","Alan Scott",0.16,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-25T06:51:53.893Z""","Salary BACS Payment",2000,"BAC","Salary","6501999222","50-92-37"
"1341936022","""2013-01-24T13:29:03.954Z""","Alan Scott",7.59,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-25T00:01:09.560Z""","Wonga",-11.61,"CAW","Debt","6501999222","50-92-37"
"1341936022","""2013-01-25T01:42:22.598Z""","Hitachi Personal Finance",-5.25,"CAW","Debt","6501999222","50-92-37"
"1341936022","""2013-01-25T22:52:32.246Z""","Interest",0.44,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-25T12:17:02.349Z""","Lidl",-15.51,"CAW","Food","6501999222","50-92-37"
"1341936022","""2013-01-25T21:02:39.160Z""","Alan Scott",1.86,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-25T09:55:47.365Z""","M5 GoKarting",-30.01,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-01-25T03:20:35.203Z""","Oxfam",-5.43,"CAW","Charity","6501999222","50-92-37"
"1341936022","""2013-01-25T01:10:51.216Z""","Alan Scott",2.13,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-25T19:35:52.886Z""","Payment received thank you",-185.73,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-01-25T15:24:01.998Z""","Arriva Wales",-0.01,"CAW","Transport","6501999222","50-92-37"
"1341936022","""2013-01-25T02:13:14.552Z""","Payment received thank you",185.73,"CCD","Credit Repayment","4298343572157391",
"1341936022","""2013-01-26T09:10:19.702Z""","Oxfam",-6.61,"CCW","Charity","4298343572157391",
"1341936022","""2013-01-26T23:30:01.920Z""","Primark",-22.66,"CAW","Clothing","6501999222","50-92-37"
"1341936022","""2013-01-27T05:59:07.018Z""","McColls",-6.01,"CAW","Food","6501999222","50-92-37"
"1341936022","""2013-01-26T19:25:55.848Z""","Payment received thank you",-99.38,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-01-26T04:20:23.366Z""","Payment received thank you",99.38,"CCD","Credit Repayment","4298343572157391",
"1341936022","""2013-01-27T17:53:43.248Z""","Primark",-7.34,"CAW","Clothing","6501999222","50-92-37"
"1341936022","""2013-01-27T08:59:08.297Z""","M5 GoKarting",-13.88,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-01-27T06:25:16.318Z""","Brenda Ward",15.64,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-27T02:37:27.082Z""","M5 GoKarting",-30.21,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-01-27T02:12:18.061Z""","Arriva Wales",-12.71,"CAW","Transport","6501999222","50-92-37"
"1341936022","""2013-01-27T02:44:02.494Z""","Wonga",-2.59,"CAW","Debt","6501999222","50-92-37"
"1341936022","""2013-01-27T08:33:40.510Z""","Paintball UK",-19.3,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-01-27T11:52:41.119Z""","Supercuts",-12.98,"CAW","Healthcare","6501999222","50-92-37"
"1341936022","""2013-01-27T09:59:36.345Z""","Payment received thank you",-94.25,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-01-27T13:32:31.879Z""","National Express",-0.01,"CCW","Transport","4298343572157391",
"1341936022","""2013-01-27T03:47:17.157Z""","Matalan",-0.01,"CCW","Clothing","4298343572157391",
"1341936022","""2013-01-27T22:12:19.265Z""","Payment received thank you",94.25,"CCD","Credit Repayment","4298343572157391",
"1341936022","""2013-01-27T12:37:31.988Z""","Save the Children",-11.93,"CCW","Charity","4298343572157391",
"1341936022","""2013-01-27T22:42:23.503Z""","M5 GoKarting",-29.32,"CCW","Entertainment","4298343572157391",
"1341936022","""2013-01-27T19:54:11.566Z""","National Express",-10.51,"CCW","Transport","4298343572157391",
"1341936022","""2013-01-27T07:28:27.340Z""","Wonga",-3.98,"CCW","Debt","4298343572157391",
"1341936022","""2013-01-27T03:22:43.355Z""","Shelter",-3.62,"CCW","Savings","4298343572157391",
"1341936022","""2013-01-28T23:42:45.653Z""","Barclaycard",-4.71,"CAW","Debt","6501999222","50-92-37"
"1341936022","""2013-01-28T14:27:56.563Z""","McColls",-15.77,"CAW","Food","6501999222","50-92-37"
"1341936022","""2013-01-28T18:26:40.371Z""","Subway",-10.85,"CAW","Food","6501999222","50-92-37"
"1341936022","""2013-01-28T16:14:10.348Z""","McColls",-2.88,"CAW","Food","6501999222","50-92-37"
"1341936022","""2013-01-28T11:17:11.134Z""","National Express",-3.16,"CAW","Transport","6501999222","50-92-37"
"1341936022","""2013-01-25T22:09:28.516Z""","Hitachi Personal Finance",-5.14,"CAW","Debt","6501999222","50-92-37"
"1341936022","""2013-01-28T13:49:33.506Z""","Alan Scott",14.31,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-28T19:03:26.546Z""","Payment received thank you",-36.58,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-01-28T21:49:46.351Z""","Bodyshop",-0.01,"CCW","Healthcare","4712584669557161",
"1341936022","""2013-01-29T17:01:21.291Z""","Payment received thank you",-79.83,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-01-28T03:50:18.870Z""","Payment received thank you",36.58,"CCD","Credit Repayment","4712584669557161",
"1341936022","""2013-01-29T12:14:08.272Z""","Payment received thank you",79.83,"CCD","Credit Repayment","4298343572157391",
"1341936022","""2013-01-29T22:01:30.188Z""","Alan Scott",6.69,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-01-29T12:02:37.310Z""","Primark",-18.7,"CCW","Clothing","4298343572157391",
"1341936022","""2013-01-29T20:49:40.292Z""","Subway",-0.01,"CCW","Food","4712584669557161",
"1341936022","""2013-01-29T15:01:56.862Z""","Payment received thank you",-228.48,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-01-29T12:37:10.942Z""","Paintball UK",-28.21,"CCW","Entertainment","4712584669557161",
"1341936022","""2013-01-30T00:37:01.324Z""","Save the Children",-0.01,"CAW","Charity","6501999222","50-92-37"
"1341936022","""2013-01-30T14:51:02.404Z""","Bodyshop",-29.53,"CAW","Healthcare","6501999222","50-92-37"
"1341936022","""2013-01-30T20:16:24.233Z""","National Express",-1.13,"CCW","Transport","4298343572157391",
"1341936022","""2013-01-29T13:31:29.463Z""","Payment received thank you",228.48,"CCD","Credit Repayment","4712584669557161",
"1341936022","""2013-01-30T10:32:59.741Z""","Hitachi Personal Finance",-6.76,"CCW","Debt","4298343572157391",
"1341936022","""2013-01-30T03:23:50.663Z""","Superdrug",-38.63,"CCW","Healthcare","4298343572157391",
"1341936022","""2013-01-31T07:20:27.080Z""","RSPCA",-6.43,"CCW","Savings","4298343572157391",
"1341936022","""2013-01-31T03:12:54.787Z""","Subway",-10.12,"CCW","Food","4298343572157391",
"1341936022","""2013-02-01T08:29:35.305Z""","Paintball UK",-8.9,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-02-01T20:37:20.234Z""","Cancer Research",-12.87,"CAW","Savings","6501999222","50-92-37"
"1341936022","""2013-02-01T15:04:14.987Z""","Superdrug",-23.74,"CCW","Healthcare","4712584669557161",
"1341936022","""2013-02-01T12:59:17.489Z""","Bodyshop",-42.07,"CCW","Healthcare","4298343572157391",
"1341936022","""2013-02-01T01:54:20.087Z""","Superdrug",-21.69,"CCW","Healthcare","4712584669557161",
"1341936022","""2013-02-01T06:55:15.536Z""","Payment received thank you",-19.4,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-02-01T14:02:09.135Z""","McColls",-14.39,"CCW","Food","4712584669557161",
"1341936022","""2013-02-01T12:36:26.838Z""","Payment received thank you",19.4,"CCD","Credit Repayment","4712584669557161",
"1341936022","""2013-02-02T06:02:18.828Z""","Paintball UK",-27.23,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-02-02T19:23:02.761Z""","Alan Scott",6.94,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-02T11:40:56.636Z""","Lori Alexander",9.7,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-02T16:37:05.880Z""","Save the Children",-5.6,"CCW","Savings","4712584669557161",
"1341936022","""2013-02-02T07:42:00.257Z""","Matalan",-20.67,"CCW","Clothing","4712584669557161",
"1341936022","""2013-02-02T04:29:57.041Z""","Lidl",-15.56,"CCW","Food","4298343572157391",
"1341936022","""2013-02-02T07:05:18.291Z""","WWF",-7.34,"CCW","Charity","4712584669557161",
"1341936022","""2013-02-02T13:23:03.330Z""","Barclaycard",-0.01,"CCW","Debt","4712584669557161",
"1341936022","""2013-02-02T07:42:52.466Z""","Three Mobile",-3.59,"D/D","Mobile","6501999222","50-92-37"
"1341936022","""2013-02-02T23:52:14.819Z""","Lidl",-29.47,"CCW","Food","4712584669557161",
"1341936022","""2013-02-03T06:47:40.777Z""","Hitachi Personal Finance",-11.37,"CAW","Debt","6501999222","50-92-37"
"1341936022","""2013-02-03T13:37:01.073Z""","M5 GoKarting",-23.52,"CCW","Entertainment","4298343572157391",
"1341936022","""2013-02-02T14:42:05.357Z""","Superdrug",-15.34,"CCW","Healthcare","4712584669557161",
"1341936022","""2013-02-03T03:24:58.898Z""","Wonga",-14.04,"CCW","Debt","4298343572157391",
"1341936022","""2013-02-03T12:03:09.849Z""","Arriva Wales",-0.01,"CCW","Transport","4298343572157391",
"1341936022","""2013-02-03T19:05:03.645Z""","Save the Children",-3.83,"CCW","Charity","4298343572157391",
"1341936022","""2013-02-02T09:38:42.877Z""","Sports Direct",-0.01,"CCW","Clothing","4712584669557161",
"1341936022","""2013-02-03T08:23:57.693Z""","Lidl",-1.12,"CCW","Food","4298343572157391",
"1341936022","""2013-02-03T14:23:16.968Z""","Bodyshop",-41.76,"CCW","Healthcare","4712584669557161",
"1341936022","""2013-02-03T14:40:56.058Z""","Shelter",-0.01,"CCW","Savings","4712584669557161",
"1341936022","""2013-02-03T10:48:04.224Z""","Lidl",-6.88,"CCW","Food","4712584669557161",
"1341936022","""2013-02-04T09:32:17.774Z""","Lori Alexander",10.88,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-03T01:08:16.718Z""","Lidl",-1.4,"CCW","Food","4298343572157391",
"1341936022","""2013-02-04T12:43:24.993Z""","Denise Patterson",14.96,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-04T11:02:32.530Z""","Denise Patterson",3.92,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-04T02:01:12.893Z""","Lidl",-24.52,"CAW","Food","6501999222","50-92-37"
"1341936022","""2013-02-04T21:28:37.597Z""","National Express",-1.01,"CCW","Transport","4712584669557161",
"1341936022","""2013-02-04T14:06:09.312Z""","M5 GoKarting",-40.21,"CCW","Entertainment","4298343572157391",
"1341936022","""2013-02-05T11:22:00.717Z""","M5 GoKarting",-24.77,"CCW","Entertainment","4298343572157391",
"1341936022","""2013-02-04T07:47:35.771Z""","Paintball UK",-26.02,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-02-05T14:10:44.793Z""","McColls",-20.2,"CCW","Food","4712584669557161",
"1341936022","""2013-02-06T11:24:20.096Z""","Subway",-21.65,"CCW","Food","4712584669557161",
"1341936022","""2013-02-08T17:37:20.814Z""","Nicole Bailey",3.64,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-05T13:57:11.879Z""","Thames Water",-30.32,"D/D","Water","6501999222","50-92-37"
"1341936022","""2013-02-09T22:29:29.555Z""","WWF",-1.96,"CCW","Savings","4298343572157391",
"1341936022","""2013-02-10T02:32:52.415Z""","Alan Scott",5.9,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-11T11:05:31.776Z""","Rent",-940,"D/D","Housing","6501999222","50-92-37"
"1341936022","""2013-02-12T13:58:30.342Z""","Alan Scott",0.71,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-13T00:18:51.062Z""","Denise Patterson",4.58,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-12T05:33:37.369Z""","Interest",1.08,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-16T08:23:31.660Z""","Interest",7.11,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-16T17:01:58.830Z""","Brenda Ward",0.14,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-16T23:31:11.688Z""","Lori Alexander",5.93,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-16T18:35:35.418Z""","Alan Scott",0.18,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-16T17:17:49.351Z""","Brenda Ward",6.87,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-17T17:29:05.043Z""","Lori Alexander",11.62,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-17T10:29:50.053Z""","Interest",9.44,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-17T20:09:56.736Z""","Brenda Ward",7.11,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-17T14:35:39.982Z""","Interest",2.25,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-19T21:38:24.319Z""","Lori Alexander",2.84,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-19T14:00:14.036Z""","Interest",3.37,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-19T21:58:46.395Z""","Brenda Ward",8.39,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-19T22:39:50.891Z""","Lori Alexander",7.01,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-20T11:00:53.869Z""","Alan Scott",1.06,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-20T20:48:29.638Z""","Denise Patterson",1.9,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-21T16:09:11.084Z""","Interest",4.68,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-21T04:19:41.136Z""","Nicole Bailey",1.83,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-22T08:33:07.716Z""","Brenda Ward",14.73,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-21T19:05:39.545Z""","Brenda Ward",0.3,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-25T21:50:21.058Z""","Salary BACS Payment",2000,"BAC","Salary","6501999222","50-92-37"
"1341936022","""2013-02-24T02:52:44.035Z""","Interest",0.37,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-25T18:28:31.092Z""","RSPCA",-0.01,"CAW","Savings","6501999222","50-92-37"
"1341936022","""2013-02-25T12:40:37.588Z""","WWF",-5.94,"CAW","Charity","6501999222","50-92-37"
"1341936022","""2013-02-25T11:54:53.128Z""","RSPCA",-0.01,"CAW","Savings","6501999222","50-92-37"
"1341936022","""2013-02-25T13:16:55.056Z""","Lush",-20.26,"CAW","Healthcare","6501999222","50-92-37"
"1341936022","""2013-02-25T20:50:59.620Z""","Supercuts",-24.7,"CAW","Healthcare","6501999222","50-92-37"
"1341936022","""2013-02-25T20:31:05.307Z""","Sports Direct",-6.76,"CAW","Clothing","6501999222","50-92-37"
"1341936022","""2013-02-25T02:26:46.728Z""","National Express",-0.88,"CAW","Transport","6501999222","50-92-37"
"1341936022","""2013-02-25T00:01:04.180Z""","Sports Direct",-18.89,"CAW","Clothing","6501999222","50-92-37"
"1341936022","""2013-02-25T03:48:34.360Z""","Alan Scott",0.86,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-25T17:30:46.724Z""","Lush",-19.38,"CAW","Healthcare","6501999222","50-92-37"
"1341936022","""2013-02-25T19:27:34.918Z""","Alan Scott",3.4,"CAD","-","6501999222","50-92-37"
"1341936022","""2013-02-25T13:44:07.826Z""","WWF",-10.14,"CAW","Charity","6501999222","50-92-37"
"1341936022","""2013-02-25T06:10:13.497Z""","Supercuts",-29.7,"CAW","Healthcare","6501999222","50-92-37"
"1341936022","""2013-02-25T21:01:33.279Z""","Paintball UK",-27.26,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-02-25T08:25:50.793Z""","WWF",-4.95,"CAW","Savings","6501999222","50-92-37"
"1341936022","""2013-02-25T09:43:33.047Z""","Payment received thank you",-69.58,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-02-25T04:47:28.620Z""","M5 GoKarting",-33.15,"CAW","Entertainment","6501999222","50-92-37"
"1341936022","""2013-02-25T03:02:50.682Z""","National Express",-6.03,"CCW","Transport","4298343572157391",
"1341936022","""2013-02-25T08:13:36.186Z""","Payment received thank you",69.58,"CCD","Credit Repayment","4298343572157391",
"1341936022","""2013-02-26T14:30:17.606Z""","Payment received thank you",16.15,"CCD","Credit Repayment","4298343572157391",
"1341936022","""2013-02-26T04:09:21.797Z""","Payment received thank you",-16.15,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-02-25T05:42:12.969Z""","Hitachi Personal Finance",-10.53,"CAW","Debt","6501999222","50-92-37"
"1341936022","""2013-02-26T18:46:51.096Z""","Payment received thank you",42.23,"CCD","Credit Repayment","4712584669557161",
"1341936022","""2013-02-26T20:20:23.664Z""","Payment received thank you",-42.23,"CCD","Credit Repayment","6501999222","50-92-37"
"1341936022","""2013-02-26T01:03:29.815Z""","Arriva Wales",-6.34,"CCW","Transport","4712584669557161",
"1341936022","""2013-02-26T01:13:32.411Z""","Hitachi Personal Finance",-3.67,"CCW","Debt","4712584669557161",
"1341936022","""2013-02-26T15:50:49.606Z""","MegaBus",-2.53,"CCW","Transport","4712584669557161",
"1341936022","""2013-02-27T10:55:54.990Z""","McColls",-16.72,"CAW","Food","6501999222","50-92-37"
